Fecha;Tipo_de_festivo
03/12/2017;Murcia
03/12/2017;Navarra
03/12/2017;Valencia
03/12/2017;La Rioja
06/12/2017;Festivos nacionales
07/12/2017;Día Entre Festivos
08/12/2017;Festivos nacionales
24/12/2017;Nochebuena
25/12/2017;Festivos nacionales
26/12/2017;Andalucia
26/12/2017;Aragón
26/12/2017;Asturias
26/12/2017;Baleares
26/12/2017;Canarias
26/12/2017;Cantabria
26/12/2017;Castilla y León
26/12/2017;Castilla La Mancha
26/12/2017;Cataluña
26/12/2017;Ceuta
26/12/2017;País Vasco
26/12/2017;Extremadura
26/12/2017;Galicia
26/12/2017;Madrid
26/12/2017;Melilla
26/12/2017;Murcia
26/12/2017;Navarra
26/12/2017;Valencia
26/12/2017;La Rioja
31/12/2017;Nochevieja
01/01/2018;Festivos nacionales
08/01/2018;Festivos nacionales
28/02/2018;Festivos nacionales
28/02/2018;Andalucia
28/02/2018;Aragón
28/02/2018;Asturias
28/02/2018;Baleares
28/02/2018;Canarias
28/02/2018;Cantabria
28/02/2018;Castilla y León
28/02/2018;Castilla La Mancha
28/02/2018;Ceuta
28/02/2018;Extremadura
28/02/2018;Galicia
28/02/2018;Madrid
28/02/2018;Melilla
28/02/2018;Navarra
28/02/2018;Valencia
28/02/2018;La Rioja
28/02/2018;Cataluña
28/02/2018;País Vasco
28/02/2018;Murcia
01/03/2018;Andalucia
01/03/2018;Festivos nacionales
01/03/2018;Aragón
01/03/2018;Asturias
01/03/2018;Baleares
01/03/2018;Canarias
01/03/2018;Cantabria
01/03/2018;Castilla y León
01/03/2018;Castilla La Mancha
01/03/2018;Ceuta
01/03/2018;Extremadura
01/03/2018;Galicia
01/03/2018;Madrid
01/03/2018;Melilla
01/03/2018;Navarra
01/03/2018;Valencia
01/03/2018;La Rioja
01/03/2018;Cataluña
01/03/2018;País Vasco
01/03/2018;Murcia
19/03/2018;Andalucia
19/03/2018;Festivos nacionales
19/03/2018;Aragón
19/03/2018;Asturias
19/03/2018;Baleares
19/03/2018;Canarias
19/03/2018;Cantabria
19/03/2018;Castilla y León
19/03/2018;Castilla La Mancha
19/03/2018;Ceuta
19/03/2018;Extremadura
19/03/2018;Galicia
19/03/2018;Madrid
19/03/2018;Melilla
19/03/2018;Navarra
19/03/2018;Valencia
19/03/2018;La Rioja
19/03/2018;Cataluña
19/03/2018;País Vasco
19/03/2018;Murcia
26/03/2018;Día Entre Festivos
27/03/2018;Día Entre Festivos
28/03/2018;Día Entre Festivos
29/03/2018;Festivos nacionales
29/03/2018;Andalucia
29/03/2018;Aragón
29/03/2018;Asturias
29/03/2018;Baleares
29/03/2018;Canarias
29/03/2018;Cantabria
29/03/2018;Castilla y León
29/03/2018;Castilla La Mancha
