,Real,Pred
713,1.95000000000001,49.97248
714,1.95000000000001,49.801758
715,1.95000000000001,48.79113
716,1.9600000000000009,47.30981
717,1.9600000000000009,43.06955
718,1.95000000000001,39.74913
719,1.95000000000001,37.274933
720,1.9400000000000048,5.994129
721,0.5600000000000023,3.2322311
722,0.1599999999999966,1.5896454
723,0.1599999999999966,0.94405746
724,0.1599999999999966,1.772953
725,1.5900000000000034,5.108799
726,1.95000000000001,13.258823
727,5.980000000000004,23.962078
728,17.560000000000002,28.694202
729,23.049999999999997,28.919651
730,18.15,27.356174
731,10.329999999999998,25.010391
732,5.020000000000003,23.174309
733,3.500000000000007,21.769997
734,1.95000000000001,21.023518
735,3.500000000000007,21.835644
736,6.500000000000007,24.234894
737,10.670000000000002,26.672722
738,25.0,26.874619
739,36.6,25.114155
740,39.3,22.192959
741,36.21,18.21679
742,23.15,14.735001
743,12.549999999999997,11.423592
744,10.25,4.637356
745,8.499999999999993,3.1109428
746,6.1000000000000085,1.6845055
747,3.1899999999999977,0.2610016
748,3.1899999999999977,-0.32081604
749,5.70000000000001,0.033203125
750,8.980000000000004,2.7384605
751,28.79,8.709652
752,36.84,13.266785
753,39.01,13.475349
754,37.8,11.552429
755,36.53,9.89851
756,35.400000000000006,8.743191
757,35.1,7.869053
758,31.049999999999997,7.078327
759,29.39,6.9166985
760,31.049999999999997,8.123451
761,34.0,11.1576
762,37.62,13.213043
763,47.0,13.027378
764,47.0,11.15329
765,37.62,8.771721
766,27.989999999999995,6.586582
767,14.0,4.7756996
768,20.6,22.819878
769,18.299999999999997,20.654392
770,8.670000000000009,18.949982
771,7.960000000000001,17.59642
772,6.399999999999999,17.011028
773,12.14,17.556389
774,20.939999999999998,20.359474
775,37.5,25.780468
776,43.09,29.769627
777,46.5,31.04512
778,47.51,30.295849
779,45.51,29.250492
780,44.15,28.3848
781,46.05,27.483734
782,43.09,26.799637
783,41.15,26.692879
784,42.01,27.70979
785,48.01,29.566471
786,53.25,30.83157
787,53.2,31.38628
788,53.23,31.307259
789,49.2,29.548878
790,43.52,27.345402
791,38.32,25.105862
792,37.35,31.345787
793,35.49,25.47522
794,34.58,21.166454
795,33.5,18.603935
796,35.2,17.718838
797,39.37,19.733059
798,48.32,27.327068
799,57.15,37.922203
800,59.19,44.18873
801,60.0,46.67854
802,59.18,47.13978
803,56.54,46.89144
804,56.09,46.087612
805,55.69,44.27318
806,56.56,41.836617
807,58.15,41.06284
808,59.42,42.433655
809,61.16,44.90894
810,66.05,46.71785
811,67.51,47.263702
812,59.39,46.316643
813,56.09,41.971165
814,52.7,37.249794
815,48.05,32.9833
816,45.57,51.632576
817,44.01,45.446037
818,42.24,39.78389
819,41.2,36.65113
820,40.52,37.27009
821,43.36,43.181274
822,50.43,50.588524
823,58.65,56.13674
824,61.61,59.108154
825,61.03,60.45037
826,59.54,60.34213
827,58.54,59.76024
828,57.15,58.184895
829,54.51,55.345345
830,50.0,52.359085
831,48.0,50.4925
832,48.05,52.33217
833,49.0,56.246445
834,56.61,58.205177
835,57.46,58.601845
836,51.94,57.012817
837,49.89,52.101505
838,48.49,45.57986
839,45.99,38.88582
840,44.05,37.016724
841,38.5,32.211605
842,37.5,27.855572
843,35.08,23.644905
844,33.46000000000001,20.197643
845,32.11,18.94741
846,34.5,21.399601
847,34.74,32.14772
848,35.7,45.693172
849,37.5,51.97606
850,38.05,52.865707
851,37.5,51.496628
852,37.5,49.10495
853,39.77,46.330643
854,37.5,42.730923
