Fecha,Pred,Real,MAE,MAPE
2021-04-06 12:00:00,37.57523157978265,59.01,21.434768420217345,36.32395936318818
2021-04-06 13:00:00,34.87503912851976,56.82,21.94496087148024,38.62189523315776
2021-04-06 14:00:00,31.113525147053792,53.97,22.856474852946207,42.35033324614824
2021-04-06 15:00:00,24.892843748437954,47.49,22.597156251562048,47.58297799865666
2021-04-06 16:00:00,23.7520723544533,44.94,21.187927645546697,47.1471465187955
2021-04-06 17:00:00,25.740440119281246,43.93,18.189559880718754,41.40578165426532
2021-04-06 18:00:00,31.16488973276104,52.58,21.41511026723896,40.72862355884169
2021-04-06 19:00:00,41.417329135160855,57.97,16.552670864839143,28.553856934343873
2021-04-06 20:00:00,50.501165638443354,64.53,14.028834361556648,21.7400191562942
2021-04-06 21:00:00,54.49061779919694,66.76,12.269382200803065,18.378343620136405
2021-04-06 22:00:00,47.802787322523706,62.97,15.167212677476293,24.08641047717372
2021-04-06 23:00:00,41.948565244865954,60.72,18.771434755134045,30.91474762044474
2021-04-07 00:00:00,44.52915008234751,68.25,23.720849917652487,34.755824055168475
2021-04-07 01:00:00,38.42351424917638,64.85,26.426485750823616,40.75017077999016
2021-04-07 02:00:00,36.11361113226879,62.36,26.246388867731213,42.088500429331646
2021-04-07 03:00:00,33.83791455393555,59.59,25.752085446064456,43.21544797124426
2021-04-07 04:00:00,33.46391183741844,58.0,24.536088162581557,42.30360028031303
2021-04-07 05:00:00,37.18785296683925,59.18,21.992147033160748,37.16145155992015
2021-04-07 06:00:00,44.760579633014714,60.16,15.399420366985282,25.597440769589895
2021-04-07 07:00:00,51.998918016379406,65.1,13.101081983620588,20.1245498980347
2021-04-07 08:00:00,57.58499085848803,67.03,9.445009141511974,14.090719292125875
2021-04-07 09:00:00,54.21046269380386,66.66,12.449537306196135,18.676173576651866
2021-04-07 10:00:00,51.47835484162552,65.09,13.611645158374486,20.91203742260637
2021-04-07 11:00:00,49.47048472925408,63.0,13.529515270745918,21.475421064676063
2021-04-07 12:00:00,49.31323456305338,64.84,15.526765436946626,23.94627612113915
2021-04-07 13:00:00,49.2156833612718,65.03,15.8143166387282,24.31849398543472
2021-04-07 14:00:00,47.942434774276165,65.09,17.147565225723838,26.344392726569115
2021-04-07 15:00:00,45.83157580328616,64.03,18.198424196713844,28.421715128398944
2021-04-07 16:00:00,45.32326727402186,62.24,16.916732725978143,27.17984049803686
2021-04-07 17:00:00,47.46412316576872,64.24,16.775876834231276,26.11437863361033
2021-04-07 18:00:00,52.560493169642385,66.06,13.499506830357618,20.435220754401477
2021-04-07 19:00:00,57.21128342835272,69.75,12.538716571647278,17.97665458300685
2021-04-07 20:00:00,62.50193384903038,75.98,13.478066150969624,17.73896571593791
2021-04-07 21:00:00,64.43581868930511,86.99,22.554181310694887,25.927326486601782
2021-04-07 22:00:00,60.266168042066525,74.0,13.733831957933475,18.559232375585776
2021-04-07 23:00:00,55.57868731284974,69.16,13.581312687150259,19.637525574248496
2021-04-08 00:00:00,60.135578383019066,72.53,12.394421616980935,17.088682775376995
2021-04-08 01:00:00,56.531189822836225,66.58,10.048810177163773,15.092835952483888
2021-04-08 02:00:00,54.223178309386356,65.0,10.776821690613644,16.579725677867145
2021-04-08 03:00:00,53.64857307540978,63.18,9.531426924590221,15.086145812900002
2021-04-08 04:00:00,54.25825431741501,61.9,7.64174568258499,12.345308049410322
2021-04-08 05:00:00,57.358648035862785,65.62,8.26135196413722,12.589686016667509
2021-04-08 06:00:00,62.68807724162619,71.34,8.651922758373814,12.127730247229906
2021-04-08 07:00:00,69.26991162974736,76.07,6.800088370252638,8.93925117688003
2021-04-08 08:00:00,73.39908724151059,81.77,8.37091275848941,10.237144134143831
2021-04-08 09:00:00,72.91145597109067,81.28,8.368544028909326,10.29594491745734
2021-04-08 10:00:00,69.43672139275382,74.52,5.0832786072461715,6.821361523411396
2021-04-08 11:00:00,66.02880964702263,70.0,3.9711903529773735,5.673129075681962
2021-04-08 12:00:00,64.35991375179354,67.4,3.040086248206464,4.510513721374576
2021-04-08 13:00:00,62.82518120857739,66.09,3.2648187914226128,4.9399588310222615
2021-04-08 14:00:00,59.95477242289816,63.44,3.4852275771018384,5.493738299340855
2021-04-08 15:00:00,58.48396073614805,60.02,1.5360392638519542,2.5592123689636024
2021-04-08 16:00:00,58.072089180588854,57.0,1.0720891805888542,1.880858211559393
2021-04-08 17:00:00,60.10142215674988,62.36,2.258577843250123,3.62183746512207
2021-04-08 18:00:00,63.61705193732492,70.22,6.602948062675075,9.40322993830116
2021-04-08 19:00:00,69.46807909443551,74.85,5.381920905564485,7.190275090934516
2021-04-08 20:00:00,74.25146810070976,80.56,6.308531899290244,7.830848931591664
2021-04-08 21:00:00,78.8032283540465,79.3,0.4967716459535012,0.6264459595882739
2021-04-08 22:00:00,73.75787892227423,73.97,0.21212107772576871,0.28676636166793124
2021-04-08 23:00:00,68.94583439397512,69.61,0.6641656060248806,0.9541238414378403
2021-04-09 00:00:00,63.04789433684611,73.36,10.312105663153886,14.056850685869529
2021-04-09 01:00:00,59.19908469322601,69.98,10.780915306773991,15.405709212309219
2021-04-09 02:00:00,57.638861848822316,68.77,11.13113815117768,16.186037736189736
2021-04-09 03:00:00,56.80367365318797,67.97,11.166326346812028,16.428315943522183
2021-04-09 04:00:00,56.69292306251951,65.35,8.657076937480483,13.247248565387121
2021-04-09 05:00:00,58.22857148919129,71.37,13.141428510808716,18.413098656030147
2021-04-09 06:00:00,63.86174253992334,73.97,10.108257460076658,13.665347384178258
2021-04-09 07:00:00,70.32881779408163,80.0,9.67118220591837,12.088977757397963
2021-04-09 08:00:00,73.52351154583604,84.23,10.70648845416396,12.71101561695828
2021-04-09 09:00:00,72.77528974731354,86.48,13.704710252686468,15.847259774151789
2021-04-09 10:00:00,70.74633559504107,80.27,9.523664404958922,11.864537691489874
2021-04-09 11:00:00,67.92038895474528,73.97,6.049611045254721,8.178465655339625
2021-04-09 12:00:00,66.56763987817723,70.79,4.222360121822774,5.964627944374593
2021-04-09 13:00:00,63.76581381399954,65.13,1.3641861860004525,2.094558860740753
2021-04-09 14:00:00,60.24684128123551,62.36,2.1131587187644882,3.3886445137339454
2021-04-09 15:00:00,57.747139151850064,61.16,3.4128608481499327,5.58021721411042
2021-04-09 16:00:00,55.933028858424194,58.12,2.1869711415758033,3.7628546826837637
2021-04-09 17:00:00,58.17807357769978,63.93,5.751926422300222,8.997225750508717
2021-04-09 18:00:00,63.05142054835947,70.68,7.62857945164054,10.793123163045472
2021-04-09 19:00:00,68.42612682722718,74.19,5.7638731727728185,7.769070188398462
2021-04-09 20:00:00,72.40177081697863,82.97,10.568229183021373,12.73741012778278
2021-04-09 21:00:00,72.85484993536893,76.51,3.655150064631073,4.777349450569955
2021-04-09 22:00:00,69.23091878910465,73.25,4.019081210895351,5.486800287911741
2021-04-09 23:00:00,65.43755792148698,70.01,4.572442078513021,6.53112709400517
2021-04-10 00:00:00,64.04026722545692,66.02,1.9797327745430806,2.998686420089489
2021-04-10 01:00:00,59.09439195245646,63.26,4.165608047543536,6.584900486157977
2021-04-10 02:00:00,57.025620176433264,61.86,4.834379823566735,7.815033662409852
2021-04-10 03:00:00,55.09497698769521,60.57,5.4750230123047885,9.039166274236072
2021-04-10 04:00:00,54.533025686342235,60.16,5.626974313657762,9.353348260734313
2021-04-10 05:00:00,58.2554477515809,61.16,2.904552248419094,4.7491043957146735
2021-04-10 06:00:00,61.01986057697673,62.36,1.3401394230232668,2.14903691953699
2021-04-10 07:00:00,64.40962089971046,62.97,1.4396208997104623,2.2862012064641295
2021-04-10 08:00:00,67.971260593019,68.32,0.3487394069809966,0.510449951670077
2021-04-10 09:00:00,69.69892284765163,70.23,0.5310771523483737,0.7561969989297647
2021-04-10 10:00:00,68.66126042217464,70.18,1.5187395778253716,2.1640632342909254
2021-04-10 11:00:00,64.95257817859519,68.97,4.01742182140481,5.824883023640438
2021-04-10 12:00:00,61.81504959239004,67.77,5.954950407609957,8.787000749018677
2021-04-10 13:00:00,58.43283532324715,65.51,7.077164676752858,10.803182226763635
2021-04-10 14:00:00,52.34382366864725,62.36,10.016176331352753,16.06186069812821
2021-04-10 15:00:00,48.77707370485407,58.01,9.23292629514593,15.916094285719584
2021-04-10 16:00:00,45.488360102442954,55.07,9.581639897557046,17.399019243793436
2021-04-10 17:00:00,47.39510598803065,59.84,12.444894011969353,20.796948549414022
2021-04-10 18:00:00,57.308552025168645,65.7,8.391447974831358,12.772371346775277
2021-04-10 19:00:00,63.52798955229696,69.24,5.712010447703037,8.249581813551469
2021-04-10 20:00:00,70.36799564182067,70.12,0.24799564182066547,0.35367319141566667
2021-04-10 21:00:00,70.79362964823076,73.82,3.0263703517692306,4.099661814913615
2021-04-10 22:00:00,67.88562371747716,70.18,2.2943762825228475,3.26927369980457
2021-04-10 23:00:00,63.362494077262994,66.45,3.0875059227370087,4.646359552651631
2021-04-11 00:00:00,57.7475647663402,61.16,3.4124352336597994,5.579521310758338
2021-04-11 01:00:00,53.0774753223042,60.97,7.892524677695796,12.944931405110378
2021-04-11 02:00:00,49.302904589103164,57.21,7.9070954108968365,13.821177085993423
2021-04-11 03:00:00,47.52534112868823,53.75,6.224658871311767,11.58076069081259
2021-04-11 04:00:00,46.80500024430766,51.52,4.714999755692347,9.151785240086076
2021-04-11 05:00:00,46.89786541160967,50.97,4.072134588390327,7.98927719911777
2021-04-11 06:00:00,48.337272386624605,51.81,3.4727276133753975,6.702813382311132
2021-04-11 07:00:00,48.21789995153076,49.4,1.1821000484692377,2.3929150778729507
2021-04-11 08:00:00,48.50660878886955,52.91,4.403391211130447,8.322417711454259
2021-04-11 09:00:00,49.96476727980091,55.35,5.385232720199092,9.729417742003779
2021-04-11 10:00:00,47.78629982959375,56.54,8.753700170406248,15.482313707828524
2021-04-11 11:00:00,44.54857552040007,53.2,8.651424479599932,16.262076089473553
2021-04-11 12:00:00,41.05133279436625,53.23,12.178667205633744,22.87932971188004
2021-04-11 13:00:00,37.845160797361906,45.9,8.054839202638092,17.54866928679323
2021-04-11 14:00:00,35.127238958720525,41.92,6.792761041279476,16.20410553740333
2021-04-11 15:00:00,31.419239430296713,41.29,9.870760569703286,23.90593501986749
2021-04-11 16:00:00,29.4817089338195,37.6,8.1182910661805,21.591199644097074
2021-04-11 17:00:00,31.838249077359524,34.84,3.001750922640479,8.61581780321607
2021-04-11 18:00:00,38.130586043606456,40.1,1.969413956393545,4.911256749111085
2021-04-11 19:00:00,43.47034430111844,47.48,4.009655698881559,8.444936181300672
2021-04-11 20:00:00,49.39203966571825,60.97,11.577960334281748,18.989601991605294
2021-04-11 21:00:00,55.41912599256998,67.2,11.780874007430022,17.53106251105658
2021-04-11 22:00:00,50.38708227771428,63.85,13.462917722285724,21.085227442890716
2021-04-11 23:00:00,44.570936937220424,59.14,14.569063062779577,24.634871597530566
2021-04-12 00:00:00,47.32060956901407,60.57,13.249390430985933,21.87450954430565
2021-04-12 01:00:00,43.7452538465067,53.2,9.454746153493303,17.772079235889667
2021-04-12 02:00:00,42.08023010897337,50.0,7.9197698910266325,15.839539782053267
