,Predicciones,Reales
2021-01-13 04:00:00,60.31900000000005,61.35
2021-01-13 05:00:00,61.44433333333337,64.85
2021-01-13 06:00:00,73.16093333333335,74.01
2021-01-13 07:00:00,89.23766666666668,89.0
2021-01-13 08:00:00,99.45320000000002,97.48
2021-01-13 09:00:00,102.4864666666667,99.0
2021-01-13 10:00:00,104.46706666666668,98.37
2021-01-13 11:00:00,105.60413333333331,97.84
2021-01-13 12:00:00,106.11599999999994,97.12
2021-01-13 13:00:00,104.9598666666666,97.12
2021-01-13 14:00:00,102.54513333333335,97.48
2021-01-13 15:00:00,96.29893333333335,97.12
2021-01-13 16:00:00,99.01740000000002,98.37
2021-01-13 17:00:00,102.63426666666663,100.44
2021-01-13 18:00:00,107.44873333333335,102.03
2021-01-13 19:00:00,114.2410666666666,109.42
2021-01-13 20:00:00,113.85879999999987,112.84
2021-01-13 21:00:00,111.87273333333331,103.75
2021-01-13 22:00:00,102.05060000000005,100.44
2021-01-13 23:00:00,86.88860000000001,85.01
2021-01-14 00:00:00,85.52553333333333,95.0
2021-01-14 01:00:00,75.71540000000007,70.35
2021-01-14 02:00:00,67.42260000000005,67.65
2021-01-14 03:00:00,65.80666666666674,62.15
2021-01-14 04:00:00,63.175200000000025,60.0
2021-01-14 05:00:00,66.7495333333334,60.39
2021-01-14 06:00:00,75.77993333333337,67.65
2021-01-14 07:00:00,86.54366666666668,83.22
2021-01-14 08:00:00,97.89566666666677,95.0
2021-01-14 09:00:00,102.91520000000008,98.13
2021-01-14 10:00:00,97.1606666666667,97.0
2021-01-14 11:00:00,96.20586666666661,95.0
2021-01-14 12:00:00,95.06139999999996,88.75
2021-01-14 13:00:00,93.29426666666664,88.31
2021-01-14 14:00:00,92.61639999999997,88.75
2021-01-14 15:00:00,92.63893333333331,82.87
2021-01-14 16:00:00,93.66966666666667,88.75
2021-01-14 17:00:00,100.48486666666672,95.98
2021-01-14 18:00:00,106.31080000000011,100.17
2021-01-14 19:00:00,111.31913333333335,103.68
2021-01-14 20:00:00,112.23353333333337,107.72
2021-01-14 21:00:00,108.14186666666676,102.89
2021-01-14 22:00:00,101.64666666666675,99.05
2021-01-14 23:00:00,87.51280000000006,95.59
2021-01-15 00:00:00,77.49793333333336,68.85
2021-01-15 01:00:00,67.05653333333335,60.0
2021-01-15 02:00:00,65.6417333333333,55.48
2021-01-15 03:00:00,62.12973333333329,54.6
2021-01-15 04:00:00,60.37713333333332,52.7
2021-01-15 05:00:00,62.89393333333332,54.4
2021-01-15 06:00:00,69.71966666666667,62.97
2021-01-15 07:00:00,91.06146666666665,77.94
2021-01-15 08:00:00,94.72886666666665,90.04
2021-01-15 09:00:00,94.06246666666665,97.76
2021-01-15 10:00:00,90.89213333333333,90.69
2021-01-15 11:00:00,91.18559999999995,86.97
2021-01-15 12:00:00,88.52493333333334,79.25
2021-01-15 13:00:00,87.58546666666669,76.64
2021-01-15 14:00:00,88.25986666666672,77.14
2021-01-15 15:00:00,84.10000000000014,76.98
2021-01-15 16:00:00,88.39473333333339,82.0
2021-01-15 17:00:00,91.08220000000003,88.22
2021-01-15 18:00:00,98.41546666666657,98.02
2021-01-15 19:00:00,100.93953333333324,96.01
2021-01-15 20:00:00,102.55119999999997,98.02
2021-01-15 21:00:00,99.52253333333324,94.29
2021-01-15 22:00:00,95.48626666666662,84.12
2021-01-15 23:00:00,86.86706666666667,79.0
2021-01-16 00:00:00,72.88726666666669,64.37
2021-01-16 01:00:00,61.83726666666666,59.91
2021-01-16 02:00:00,56.91536666666661,55.1
2021-01-16 03:00:00,53.898566666666646,52.2
