,Real,Pred,MAE,MAPE
2021-08-13 22:00:00,129.73,125.940674,3.7893261718749898,2.9209328388768907
2021-08-13 23:00:00,126.17,119.0181,7.151903076171877,5.668465622708946
2021-08-14 00:00:00,124.91,124.96319,0.05318817138672216,0.04258119557018827
2021-08-14 01:00:00,123.1,121.59417,1.5058303833007756,1.223257825589582
2021-08-14 02:00:00,121.5,119.02043,2.4795684814453125,2.040797104070216
2021-08-14 03:00:00,121.08,117.00678,4.073217468261717,3.364071248977302
2021-08-14 04:00:00,120.92,114.807076,6.1129244995117205,5.055346096188985
2021-08-14 05:00:00,120.92,114.51578,6.404222412109377,5.296247446335905
2021-08-14 06:00:00,120.92,118.33073,2.5892733764648455,2.141311095323226
2021-08-14 07:00:00,116.75,120.559814,3.809814453125,3.263224370985011
2021-08-14 08:00:00,111.35,121.60935,10.259352111816412,9.213607644199742
2021-08-14 09:00:00,112.97,121.779236,8.809235839843751,7.797854155832301
2021-08-14 10:00:00,108.0,120.44679,12.446792602539062,11.524807965313947
2021-08-14 11:00:00,105.97,117.554,11.584000854492189,10.931396484375002
2021-08-14 12:00:00,100.97,112.3682,11.398202209472657,11.288701801993323
2021-08-14 13:00:00,105.91,108.9046,2.9946020507812534,2.8274969793043656
2021-08-14 14:00:00,99.8,102.5621,2.762103271484378,2.767638548581541
2021-08-14 15:00:00,89.14,92.85188,3.711882934570312,4.164104705598286
2021-08-14 16:00:00,84.66999999999999,89.99812,5.328123168945325,6.2928111124900505
2021-08-14 17:00:00,84.47,92.61052,8.140519409179689,9.637172261370534
2021-08-14 18:00:00,84.97,110.90376,25.933762817382814,30.521081343277405
2021-08-14 19:00:00,96.07,122.1369,26.066901855468757,27.133238113322328
2021-08-14 20:00:00,119.5,126.815445,7.3154449462890625,6.121711252124738
2021-08-14 21:00:00,122.49,129.9798,7.489797363281255,6.1146194491642225
2021-08-14 22:00:00,123.09,130.2013,7.111293945312497,5.777312491114222
2021-08-14 23:00:00,121.08,127.517006,6.437005920410158,5.316324678237659
2021-08-15 00:00:00,102.0,124.26635,22.26634979248047,21.829754698510264
2021-08-15 01:00:00,89.5,123.25498,33.754981994628906,37.715063681149616
2021-08-15 02:00:00,85.84,121.263275,35.42327514648437,41.2666299469762
2021-08-15 03:00:00,85.49,120.32702,34.837018737792974,40.7498172158065
2021-08-15 04:00:00,84.98999999999998,119.2077,34.21770263671877,40.26085732053039
2021-08-15 05:00:00,85.49,118.208015,32.718015441894536,38.27116088653005
2021-08-15 06:00:00,89.1,119.13542,30.035421752929693,33.70978872382682
2021-08-15 07:00:00,90.23999999999998,119.74494,29.5049417114258,32.696079024186396
2021-08-15 08:00:00,92.93,122.353065,29.42306549072265,31.661536092459535
2021-08-15 09:00:00,89.14,123.389015,34.249015197753906,38.42160107443785
2021-08-15 10:00:00,85.83,124.173225,38.34322540283203,44.67345380733081
2021-08-15 11:00:00,84.98999999999998,122.640434,37.65043426513674,44.29984029313655
2021-08-15 12:00:00,84.98999999999998,120.559845,35.569844970703144,41.85180017731869
2021-08-15 13:00:00,84.98999999999998,119.981,34.99100280761721,41.17072927122864
2021-08-15 14:00:00,85.74000000000001,121.08757,35.34757019042968,41.22646394964973
2021-08-15 15:00:00,84.4,119.33321,34.93321380615234,41.390063751365325
2021-08-15 16:00:00,83.0,116.464035,33.46403503417969,40.31811449901167
2021-08-15 17:00:00,82.7,116.201035,33.501034545898435,40.509110696370534
2021-08-15 18:00:00,82.6,118.267,35.66699829101563,43.18038534021263
2021-08-15 19:00:00,84.9,121.77626,36.87626037597656,43.434935660749765
2021-08-15 20:00:00,90.23999999999998,126.25265,36.01264739990236,39.9076323137216
2021-08-15 21:00:00,109.35,128.69196,19.341955566406256,17.688116658807733
2021-08-15 22:00:00,105.0,129.126,24.126007080078125,22.977149600074405
2021-08-15 23:00:00,90.74,128.78333,38.043325195312505,41.92563940413545
